,Apple,IBM,Microsoft,Google,Amazon,Tesla,Nvidia,Walmart,Johnson & Johnson,Verizon,AT&T,Pfizer
2014-06-20,20.1476,110.5297,35.2668,28.1173,16.2,15.2667,0.4508,20.3541,78.3206,28.6613,97.466,18.4415
2014-06-23,19.9845,110.8278,35.5037,28.5607,16.358,15.846,0.445,20.3702,77.8599,28.8528,96.5014,18.2316
2014-06-24,19.9184,110.1585,35.3599,28.4423,16.2,15.5133,0.4386,20.4294,77.7856,28.638,96.0892,18.1266
2014-06-25,19.9117,109.9334,35.4784,29.1553,16.362,15.7833,0.4429,20.3353,78.5732,28.6845,96.8477,18.386
2014-06-26,20.0484,109.7965,35.2752,29.0976,16.27,15.6733,0.4369,20.1632,78.4914,28.5568,96.9961,18.281
2014-06-27,20.271,110.2254,35.7576,29.1434,16.2285,15.9447,0.4374,20.2573,78.0011,28.5742,96.9961,18.3427
2014-06-30,20.5222,110.2984,35.326,29.0966,16.24,16.0233,0.4412,20.1874,77.8261,28.4117,99.0572,18.3736
2014-07-01,20.6236,113.2678,35.4191,29.4673,16.6115,15.9633,0.446,20.2358,78.8406,28.6497,100.7968,18.5959
2014-07-02,20.5905,114.5456,35.453,29.3986,16.6425,15.32,0.4449,20.3138,78.6474,28.8702,100.4835,18.8059
2014-07-03,20.7272,114.7586,35.381,29.5613,16.8724,15.2327,0.4492,20.3702,78.6326,28.7889,100.3599,18.8553
2014-07-07,21.1503,114.211,35.5037,29.3777,16.6865,14.7833,0.4474,20.424,79.1006,28.8702,99.8899,18.8306
2014-07-08,20.9696,113.9189,35.4022,28.711,16.2,14.598,0.4419,20.615,79.0041,28.6384,99.1809,18.6762
2014-07-09,21.0181,114.6491,35.2668,29.0593,16.545,14.8667,0.456,20.8113,78.8035,28.6854,98.1091,18.5589
2014-07-10,20.9101,113.8784,35.3006,28.813,16.545,14.62,0.4543,20.7225,78.4766,29.1136,97.3259,18.4662
2014-07-11,21.0049,114.3326,35.6392,29.1911,17.325,14.502,0.4555,20.658,78.0011,29.4773,97.7134,18.5712
2014-07-14,21.2936,115.5922,35.6645,29.5698,17.76,15.1333,0.4603,20.5854,78.5583,29.665,98.1091,18.7009
2014-07-15,21.3332,116.9795,35.9777,29.5295,17.722,14.62,0.4641,20.6634,76.7827,29.7354,97.87,18.8059
2014-07-16,20.8881,117.2412,37.2303,29.3618,17.744,14.4387,0.4605,20.666,75.8317,29.882,98.9336,19.1024
2014-07-17,20.4737,114.7525,37.3572,29.3155,17.58,14.3247,0.4524,20.6338,74.539,29.4186,97.598,18.7318
2014-07-18,20.8263,116.8822,37.8058,30.1167,17.9285,14.68,0.4396,20.7118,75.4305,29.841,98.0267,18.9541
2014-07-21,20.7448,116.2189,37.9666,29.7559,17.9695,14.6993,0.4415,20.6445,75.6683,29.7999,97.8288,18.7689
2014-07-22,20.7492,117.8922,38.4659,30.0331,18.0155,14.6407,0.4431,20.5961,76.0026,29.8292,98.2575,18.9285
2014-07-23,21.4148,117.6488,37.9666,30.1137,17.945,14.906,0.4291,20.7037,75.906,29.7882,98.4636,18.8244
2014-07-24,21.3222,118.6528,37.5011,30.0052,16.026,14.8347,0.431,20.5316,75.7797,29.9172,98.4224,18.7318
2014-07-25,21.5139,118.3973,37.6704,29.7599,16.15,14.914,0.4231,20.4294,75.3637,30.0346,98.6285,18.6515
2014-07-28,21.8247,119.1274,37.1795,29.8067,16.0,14.9767,0.4217,20.3595,75.7426,30.2574,99.4117,18.6021
2014-07-29,21.655,118.5311,37.1118,29.5544,16.0285,15.0533,0.423,20.3003,75.6237,30.4863,99.4117,18.4045
2014-07-30,21.6285,118.0443,36.7902,29.6564,16.125,15.2867,0.4303,20.1094,75.9952,30.3631,98.9665,18.2752
2014-07-31,21.0335,116.6449,36.5278,28.9817,15.692,14.8727,0.4172,19.7948,74.4944,29.6415,97.2764,17.92
2014-08-01,21.1988,115.0324,36.3416,28.6015,15.3845,15.54,0.4208,19.7921,74.2195,29.2309,96.9466,17.9948
2014-08-04,21.0555,115.1906,36.7055,29.004,15.6355,15.8867,0.4184,19.7706,74.4127,29.4538,97.4083,17.8577
2014-08-05,21.0357,113.9371,36.477,28.5189,15.625,15.9287,0.4203,19.7248,74.279,29.225,97.903,17.7268
2014-08-06,20.9299,113.846,36.1808,28.5861,15.711,16.536,0.42,19.7198,74.8213,28.8437,96.1387,17.6708
2014-08-07,20.8635,112.8881,36.604,28.4527,15.579,16.8033,0.4338,20.0291,74.2938,28.568,96.1964,17.4652
2014-08-08,20.9366,114.2193,36.5447,28.7577,15.815,16.5473,0.4541,20.2043,75.0071,28.568,96.9796,17.6022
2014-08-11,21.3087,114.7457,36.5617,28.7234,15.93,17.2627,0.4498,20.1258,75.1556,28.5974,96.2624,17.6334
2014-08-12,21.2511,114.6662,36.8156,28.5368,15.998,17.3333,0.451,20.0879,74.6504,28.656,96.6663,17.5088
2014-08-13,21.5457,114.9049,37.3318,29.0871,16.3275,17.532,0.4524,19.9742,75.5048,28.7206,97.227,17.6645
2014-08-14,21.6121,115.1252,37.518,29.0916,16.6605,17.41,0.4479,20.1718,75.7797,28.8731,97.0703,17.9325
2014-08-15,21.7029,114.8253,37.9497,29.0448,16.65,17.4667,0.4529,20.0284,75.1928,28.6091,96.3695,17.8452
2014-08-18,21.9997,116.0188,38.1528,29.5569,16.736,17.2833,0.4574,20.1556,76.2998,28.6267,96.6334,17.9636
2014-08-19,22.2433,116.2943,38.6098,29.7116,16.7625,17.0787,0.4631,20.2665,76.4706,28.5856,96.452,18.0322
2014-08-20,22.2544,116.4289,38.2607,29.627,16.8,17.0167,0.4602,20.2882,76.4112,28.6736,94.9762,17.9761
2014-08-21,22.2832,117.0471,38.4821,29.4877,16.6615,16.96,0.4557,20.4614,77.4067,28.6854,95.4544,17.9449
2014-08-22,22.4692,116.5452,38.4991,29.4573,16.5925,17.116,0.4561,20.5399,77.2292,28.5563,94.0611,18.0197
2014-08-25,22.4338,117.0043,38.4395,29.4001,16.75,17.51,0.4568,20.456,77.2142,28.832,94.7042,18.0259
2014-08-26,22.374,118.1244,38.3203,29.2643,17.075,17.468,0.4651,20.4398,77.3414,28.9083,94.8773,18.2254
2014-08-27,22.6132,117.7265,38.15,29.0647,17.159,17.55,0.4634,20.5047,77.117,29.0021,94.7371,18.4185
2014-08-28,22.6752,117.5184,38.1841,28.9598,17.021,17.606,0.4636,20.5426,77.0272,28.9435,94.3414,18.3562
